,feature.node.kubernetes.io/cpu-hardware_multithreading,feature.node.kubernetes.io/cpu-model.family,feature.node.kubernetes.io/cpu-model.id,feature.node.kubernetes.io/cpu-model.vendor_id,feature.node.kubernetes.io/kernel-version.full,feature.node.kubernetes.io/kernel-version.major,feature.node.kubernetes.io/kernel-version.minor,feature.node.kubernetes.io/kernel-version.revision,feature.node.kubernetes.io/system-os_release.ID,feature.node.kubernetes.io/system-os_release.VERSION_ID,feature.node.kubernetes.io/system-os_release.VERSION_ID.major,optimization,threads,micro_arch,futex_waiting_ns,cpu_running_ns,cpu_waiting_ns,y_actual
hpc7g.16xlarge.cortex-a72-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,Og,6530.0,116390.0,79795.0,32.3444
hpc7g.16xlarge.cortex-a72-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,Og,6530.0,116390.0,79795.0,30.0507
hpc7g.16xlarge.cortex-a72-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,Og,6530.0,116390.0,79795.0,33.7948
hpc7g.16xlarge.neoverse-v2-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,O3,5958.0,134215.6666666667,129003.0,32.3829
hpc7g.16xlarge.neoverse-v2-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,O3,5958.0,134215.6666666667,129003.0,34.1472
hpc7g.16xlarge.neoverse-v2-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,O3,5958.0,134215.6666666667,129003.0,33.4312
hpc7g.16xlarge.cortex-x1-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Og,6594.0,98084.0,39788.0,32.6984
hpc7g.16xlarge.cortex-x1-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Og,6594.0,98084.0,39788.0,33.5296
hpc7g.16xlarge.cortex-x1-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Og,6594.0,98084.0,39788.0,35.0609
hpc7g.16xlarge.cortex-a72-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O2,6518.0,20769.0,444680.6666666667,30.3557
hpc7g.16xlarge.cortex-a72-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O2,6518.0,20769.0,444680.6666666667,32.0116
hpc7g.16xlarge.cortex-a72-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O2,6518.0,20769.0,444680.6666666667,34.1588
hpc7g.16xlarge.neoverse-n2-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O0,6215.0,5707.0,2523.875,21.0395
hpc7g.16xlarge.neoverse-n2-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O0,6215.0,5707.0,2523.875,26.2531
hpc7g.16xlarge.neoverse-n2-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O0,6215.0,5707.0,2523.875,26.7524
hpc7g.16xlarge.cortex-x1-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O0,6245.0,78588.0,49152.0,23.872
hpc7g.16xlarge.cortex-x1-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O0,6245.0,78588.0,49152.0,26.2927
hpc7g.16xlarge.cortex-x1-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O0,6245.0,78588.0,49152.0,25.7513
hpc7g.16xlarge.cortex-a53-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,Os,5939.0,95535.0,55215.0,32.3883
hpc7g.16xlarge.cortex-a53-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,Os,5939.0,95535.0,55215.0,34.2948
hpc7g.16xlarge.cortex-a53-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,Os,5939.0,95535.0,55215.0,34.2442
hpc7g.16xlarge.neoverse-n2-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O2,6555.0,107955.0,79350.0,30.9602
hpc7g.16xlarge.neoverse-n2-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O2,6555.0,107955.0,79350.0,27.5348
hpc7g.16xlarge.neoverse-n2-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O2,6555.0,107955.0,79350.0,34.0497
